VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,Total_amount,Payment_type,Trip_type 
2,2013/8/5 15:17,2013/8/5 15:17,N,1,0,0,0,0,1,0,3.3,0,0,0,0,,3.3,2,
2,2013/8/5 15:18,2013/8/5 15:18,N,1,0,0,0,0,1,0,3.3,0,0,0,0,,3.3,2,
2,2013/8/5 15:19,2013/8/5 15:19,N,1,0,0,0,0,1,0,3.3,0,0,0,0,,3.3,2,
2,2013/8/5 15:20,2013/8/5 15:20,N,1,0,0,0,0,1,0,3.3,0,0,0,0,,3.3,2,
2,2013/8/5 15:22,2013/8/5 15:22,N,1,0,0,0,0,1,0,3.3,0,0,0,0,,3.3,2,
2,2013/8/5 15:22,2013/8/5 15:22,N,1,0,0,0,0,1,0,3.3,0,0,0,0,,3.3,2,
2,2013/8/5 15:22,2013/8/5 15:23,N,1,0,0,0,0,1,0,3.3,0,0,0,0,,3.3,2,
2,2013/8/5 15:23,2013/8/5 15:24,N,1,0,0,0,0,1,0,3.3,0,0,0,0,,3.3,2,
2,2013/8/5 15:24,2013/8/5 15:24,N,1,0,0,0,0,1,0,3.3,0,0,0,0,,3.3,2,
2,2013/8/5 15:25,2013/8/5 15:25,N,1,0,0,0,0,1,0,3.3,0,0,0,0,,3.3,2,
2,2013/8/5 15:25,2013/8/5 15:25,N,1,0,0,0,0,1,0,3.3,0,0,0,0,,3.3,2,
2,2013/8/5 15:26,2013/8/5 15:26,N,1,0,0,0,0,1,0,3.3,0,0,0,0,,3.3,2,
2,2013/8/5 15:26,2013/8/5 15:27,N,1,0,0,0,0,5,0,2.5,0,0.5,0.1,0,,3.1,1,
2,2013/8/5 15:27,2013/8/5 15:27,N,1,0,0,0,0,1,0,3.3,0,0,0,0,,3.3,2,
2,2013/8/5 15:28,2013/8/5 15:28,N,1,0,0,0,0,1,0,3.3,0,0,0,0,,3.3,2,
2,2013/8/5 15:28,2013/8/5 15:30,N,1,0,0,0,0,1,0,2.5,0,0.5,0.8,0,,3.8,1,
2,2013/8/5 15:29,2013/8/5 15:29,N,1,0,0,0,0,1,0,3.3,0,0,0,0,,3.3,2,
2,2013/8/5 15:30,2013/8/5 15:33,N,1,0,0,0,0,1,0,3,0,0.5,0,0,,3.5,2,
2,2013/8/5 15:35,2013/8/5 15:36,N,1,0,0,0,0,1,0,2.5,0,0.5,0,0,,3,2,
2,2013/8/5 16:04,2013/8/5 16:04,N,1,0,0,0,0,1,0,3.25,0,0.25,0,0,,3.5,2,
2,2013/8/5 16:06,2013/8/5 16:06,N,1,0,0,0,0,1,0,3.25,0,0.25,0,0,,3.5,2,
2,2013/8/5 17:13,2013/8/5 17:14,N,1,0,0,0,0,1,0,3.25,0,0.25,0,0,,3.5,2,
2,2013/8/5 18:40,2013/8/5 18:46,N,1,0,0,0,0,1,0,2.5,0,0.5,0,0,,3,2,
2,2013/8/5 18:46,2013/8/5 18:51,N,1,0,0,0,0,1,0,4.5,0,0.5,0,0,,5,2,
2,2013/8/5 18:52,2013/8/5 18:53,N,1,0,0,0,0,1,0,3,0,0.5,0,0,,3.5,2,
2,2013/8/5 18:53,2013/8/5 18:57,N,1,0,0,0,0,1,0,4,0,0.5,3.96,0,,8.46,1,
2,2013/8/5 18:58,2013/8/5 19:03,N,1,0,0,0,0,1,0,3.5,0,0.5,2.8,0,,6.8,1,
2,2013/8/5 19:08,2013/8/5 19:10,N,1,0,0,0,0,1,0,2.5,1,0.5,1.75,0,,5.75,1,
2,2013/8/5 19:11,2013/8/5 19:11,N,1,0,0,0,0,1,0,2.5,1,0.5,0.7,0,,4.7,1,
2,2013/8/5 19:12,2013/8/5 19:12,N,1,0,0,0,0,1,0,2.5,1,0.5,0,0,,4,2,
2,2013/8/5 19:13,2013/8/5 19:18,N,1,0,0,0,0,1,0,5,1,0.5,0,0,,6.5,2,
2,2013/8/5 19:19,2013/8/5 19:22,N,1,0,0,0,0,1,0,4,1,0.5,0,0,,5.5,2,
2,2013/8/5 19:23,2013/8/5 19:24,N,1,0,0,0,0,1,0,2.5,1,0.5,0,0,,4,2,
2,2013/8/5 19:24,2013/8/5 19:25,N,1,0,0,0,0,1,0,3,1,0.5,0,0,,4.5,2,
